systematic_name,bp,mf
YKR028W,G1/S transition of mitotic cell cycle,protein serine/threonine phosphatase activity
YBR002C,ER to Golgi transport*,prenyltransferase activity*
YDR160W,sensory perception of chemical stimulus,amino acid binding
YLL047W,NA,NA
YDR228C,mRNA polyadenylylation*,protein binding
YKR087C,misfolded or incompletely synthesized protein catabolism,metalloendopeptidase activity
YDR061W,biological process unknown,"ATPase activity, coupled to transmembrane movement of substances"
YER167W,G1/S transition of mitotic cell cycle*,molecular function unknown
YML086C,response to oxidative stress,"D-arabinono-1,4-lactone oxidase activity"
YPR116W,biological process unknown,molecular function unknown
YLR125W,biological process unknown,molecular function unknown
YGR119C,mRNA-nucleus export*,structural molecule activity
YPL260W,biological process unknown,molecular function unknown
YIR004W,peroxisome matrix protein import,chaperone binding
YJR144W,DNA repair*,DNA binding
YBR200W,establishment of cell polarity (sensu Fungi)*,protein binding
YOR088W,NA,NA
YNR042W,NA,NA
YHR058C,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YBR215W,G1/S-specific transcription in mitotic cell cycle,transcription regulator activity
YBL010C,biological process unknown,molecular function unknown
YLR417W,protein-vacuolar targeting*,regulator of G-protein signaling activity
YOR016C,secretory pathway,molecular function unknown
YDR459C,biological process unknown,molecular function unknown
YFR048W,biological process unknown,molecular function unknown
YDR119W,biological process unknown,molecular function unknown
YLR265C,DNA repair*,molecular function unknown
YPR128C,peroxisome organization and biogenesis*,adenine nucleotide transporter activity
YGR182C,NA,NA
YHR002W,coenzyme A transport,coenzyme A transporter activity
YBR150C,biological process unknown,molecular function unknown
YPL257W,biological process unknown,molecular function unknown
YIL165C,biological process unknown,molecular function unknown
YIL164C,biological process unknown,nitrilase activity
YKR093W,peptide transport,peptide transporter activity
YBL106C,exocytosis*,molecular function unknown
YML049C,"nuclear mRNA splicing, via spliceosome*",U2 snRNA binding
YGR266W,biological process unknown,molecular function unknown
YBL079W,mRNA-nucleus export*,structural molecule activity
YNL239W,response to antibiotic,transcription regulator activity*
YPR066W,protein neddylation,NEDD8 activating enzyme activity
YNL212W,biological process unknown,molecular function unknown
YNL025C,meiosis*,general RNA polymerase II transcription factor activity*
YHL030W,protein catabolism,protein binding
YKL218C,amino acid derivative catabolism,threo-3-hydroxyaspartate ammonia-lyase activity*
YBL067C,biological process unknown,ubiquitin-specific protease activity
YHR194W,mitochondrion organization and biogenesis*,molecular function unknown
YHR131C,biological process unknown,molecular function unknown
YBR080C,ER to Golgi transport*,ATPase activity
YHR074W,NAD biosynthesis,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides*"
YIL109C,ER to Golgi transport*,protein binding
YML085C,mitotic sister chromatid segregation*,structural constituent of cytoskeleton
YFL037W,mitotic sister chromatid segregation*,structural constituent of cytoskeleton
YCR084C,negative regulation of transcription*,general transcriptional repressor activity
YNL197C,regulation of cell size,RNA binding
YIR036C,biological process unknown,molecular function unknown
YGR041W,bud site selection,molecular function unknown
YNL066W,mitochondrion organization and biogenesis,glucosidase activity
YPR105C,intra-Golgi transport*,molecular function unknown
YDL128W,calcium ion homeostasis*,calcium ion transporter activity*
YOR156C,protein sumoylation*,SUMO ligase activity
YHR205W,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YKL104C,cell wall chitin biosynthesis,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
YDL210W,transport*,putrescine transporter activity*
YHR113W,proteolysis and peptidolysis,metalloendopeptidase activity*
YDL088C,mRNA-nucleus export*,structural molecule activity
YLR005W,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity
YKR066C,response to oxidative stress,cytochrome-c peroxidase activity
YDR099W,sporulation (sensu Fungi)*,protein binding*
YHL023C,biological process unknown,molecular function unknown
YBR227C,biological process unknown,unfolded protein binding*
YBR233W,biological process unknown,molecular function unknown
YDL159W,protein amino acid phosphorylation*,MAP kinase kinase activity
YML020W,biological process unknown,molecular function unknown
YOR308C,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
YBR231C,chromatin remodeling,molecular function unknown
YJR021C,meiotic recombination,molecular function unknown
YFL007W,protein catabolism*,proteasome activator activity
YLR188W,oligopeptide transport,ATPase activity*
YKL215C,biological process unknown,molecular function unknown
YLR153C,acetyl-CoA biosynthesis,acetate-CoA ligase activity
YMR237W,biological process unknown,molecular function unknown
YDR189W,ER to Golgi transport,SNARE binding
YML010W,"regulation of transcription, DNA-dependent*",RNA polymerase II transcription elongation factor activity
YDR443C,negative regulation of transcription from RNA polymerase II promoter,general RNA polymerase II transcription factor activity
YNL176C,biological process unknown,molecular function unknown
YDL155W,G2/M transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity
YJR001W,neutral amino acid transport,neutral amino acid transporter activity
YPL127C,"regulation of transcription, DNA-dependent*",DNA binding
YER119C,amino acid transport,amino acid transporter activity
YPL145C,vesicle-mediated transport*,oxysterol binding
YOL070C,biological process unknown,molecular function unknown
YPR152C,biological process unknown,molecular function unknown
YPR173C,protein retention in Golgi*,ATPase activity
YNL039W,transcription initiation from RNA polymerase III promoter,RNA polymerase III transcription factor activity
YCL024W,protein amino acid phosphorylation*,protein kinase activity
YGL114W,transport,oligopeptide transporter activity
YER178W,pyruvate metabolism,pyruvate dehydrogenase (acetyl-transferring) activity
YLR089C,biological process unknown,transaminase activity
YGL202W,aromatic amino acid family metabolism,aromatic-amino-acid transaminase activity
YCL017C,iron ion homeostasis*,cystathionine gamma-lyase activity
YHL029C,metabolism,molecular function unknown
YAR019C,protein amino acid phosphorylation*,protein kinase activity
YOR303W,arginine biosynthesis,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
YKL094W,biological process unknown,serine hydrolase activity
YML131W,biological process unknown,molecular function unknown
YPL133C,response to xenobiotic stimulus,transcription factor activity
YAL032C,positive regulation of transcription from RNA polymerase II promoter,transcriptional activator activity
YNR036C,protein biosynthesis,structural constituent of ribosome
YJR160C,carbohydrate transport,carbohydrate transporter activity*
YDL247W,carbohydrate transport,carbohydrate transporter activity*
YPR182W,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
YFL029C,protein amino acid phosphorylation*,protein kinase activity
YDR246W,ER to Golgi transport,molecular function unknown
YCL016C,mitotic sister chromatid cohesion,molecular function unknown
YDL114W-A,NA,NA
YFR045W,transport,transporter activity
YER077C,biological process unknown,molecular function unknown
YLR106C,rRNA processing*,ATPase activity
YER164W,chromatin remodeling*,ATPase activity*
YOR264W,biological process unknown,molecular function unknown
YNL078W,regulation of mitosis,molecular function unknown
YJL078C,biological process unknown,molecular function unknown
YHR083W,mitochondrial outer membrane protein import,protein binding
YKR084C,protein biosynthesis,molecular function unknown
YLR463C,NA,NA
YGL123W,protein biosynthesis*,structural constituent of ribosome
YAL004W,NA,NA
YBL109W,NA,NA
YAL069W,NA,NA
YJR162C,NA,NA
YNR077C,NA,NA
YDR543C,NA,NA
YKL225W,NA,NA
YLL065W,NA,NA
YHR183W,response to oxidative stress*,phosphogluconate dehydrogenase (decarboxylating) activity
YDR328C,protein complex assembly*,protein binding*
YMR147W,biological process unknown,molecular function unknown
YJR072C,aerobic respiration,protein binding
YOL068C,chromatin silencing,NAD-dependent histone deacetylase activity*
YPR125W,biological process unknown,molecular function unknown
YDR234W,lysine biosynthesis via aminoadipic acid,homoaconitate hydratase activity
YEL046C,threonine catabolism*,threonine aldolase activity
YGR197C,response to drug,molecular function unknown
YPL270W,aerobic respiration,"ATPase activity, coupled to transmembrane movement of substances"
YML112W,protein amino acid phosphorylation*,cyclin-dependent protein kinase activity
YGL254W,positive regulation of transcription from RNA polymerase II promoter*,transcription factor activity
YGL237C,transcription*,transcriptional activator activity
YPL105C,biological process unknown,molecular function unknown
YOR198C,meiosis*,RNA binding
YPL140C,protein amino acid phosphorylation*,MAP kinase kinase activity
YPR034W,chromatin remodeling,general RNA polymerase II transcription factor activity
YER095W,telomerase-independent telomere maintenance*,recombinase activity
YKL146W,neutral amino acid transport,neutral amino acid transporter activity
YGL172W,mRNA-nucleus export*,structural molecule activity
YFR044C,biological process unknown,molecular function unknown
YDR012W,protein biosynthesis,structural constituent of ribosome
YBR031W,protein biosynthesis,structural constituent of ribosome
YGR101W,mitochondrion organization and biogenesis*,peptidase activity
YDR072C,sphingolipid biosynthesis*,"transferase activity, transferring phosphorus-containing groups"
YCL049C,biological process unknown,molecular function unknown
YOL105C,cell wall organization and biogenesis*,transmembrane receptor activity
YDR534C,siderophore transport,molecular function unknown
YGR031W,biological process unknown,molecular function unknown
YFR034C,phosphate metabolism*,transcription factor activity
YML032C,telomerase-independent telomere maintenance*,recombinase activity*
YDR485C,protein-vacuolar targeting*,molecular function unknown
YNL091W,response to salt stress,molecular function unknown
YKR002W,mRNA-nucleus export*,polynucleotide adenylyltransferase activity
YGL035C,regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity
